L21_V002,24285
L21_V002,24881
L21_V023,26244
L26_V110,2232
L22_V006,6221
L21_V012,5445
L21_V031,17607
L22_V010,13769
L22_V018,22667
L26_V088,6023
L21_V002,23997
L21_V015,25073
L26_V063,5704
L22_V015,19548
L21_V007,15150
L22_V025,18651
L30_V029,4537
L21_V002,24597
L21_V023,16556
L22_V030,7202
L26_V116,1922
L21_V003,8730
L22_V017,16286
L30_V076,433
L21_V024,16590
L22_V006,5159
L22_V017,18731
L22_V027,4788
L30_V003,6218
L30_V089,1438
L26_V063,5676
L21_V022,4232
L22_V012,32154
L30_V015,531
L22_V008,2760
L22_V011,20840
L30_V075,4823
L21_V003,21014
L22_V010,16219
L30_V089,4770
L21_V027,8712
L29_V016,11684
L21_V022,4514
L25_V039,1483
L21_V022,19302
L22_V021,15035
L30_V029,2495
L22_V010,7080
L22_V006,13092
L30_V094,520
L30_V029,1290
L22_V017,1838
L21_V027,11979
L22_V021,2336
L30_V002,2990
L21_V028,28533
L30_V029,1760
L29_V004,20160
L29_V006,9720
L30_V083,409
L22_V025,18266
L22_V004,21812
L29_V016,24570
L30_V003,6194
L30_V086,1982
L29_V004,4766
L26_V107,4960
L28_V016,5725
L22_V025,18732
L25_V048,22214
L30_V075,2084
L22_V008,13793
L21_V002,24756
L26_V284,6202
L30_V076,3585
L25_V021,29710
L30_V041,1811
L30_V017,2915
L22_V017,420
L29_V016,21600
L21_V022,5193
L21_V009,25650
L21_V002,25266
L29_V004,18225
L26_V316,2944
L21_V001,8622
L30_V076,3657
L21_V022,4692
L29_V022,8748
L30_V094,3932
L21_V023,16496
L29_V004,13500
L26_V100,4721
L26_V040,3915
L21_V022,6854
L30_V075,4775
L22_V024,3153
L29_V016,19770
L29_V004,21541
L25_V039,10499
