L21_V024,19530
L21_V009,19299
L21_V008,24489
L21_V007,14010
L21_V015,26295
L21_V006,11295
L22_V013,19070
L21_V018,19380
L22_V014,14189
L21_V014,23679
L21_V018,19709
L21_V015,25605
L22_V013,19229
L21_V018,19230
L22_V013,17967
L22_V013,18438
L21_V009,19989
L21_V008,25020
L22_V013,18108
L21_V024,20700
L21_V009,19391
L21_V023,22839
L22_V007,11759
L21_V018,16534
L21_V024,20052
L21_V018,18886
L21_V009,19814
L29_V021,22545
L22_V013,18296
L21_V024,20460
L21_V009,26151
L29_V021,22680
L21_V024,19620
L21_V007,15051
L21_V008,24390
L21_V025,26836
L21_V007,15336
L21_V018,18442
L21_V009,19650
L21_V008,24300
L21_V014,23547
L21_V015,26510
L21_V015,26598
L21_V014,22599
L30_V041,1811
L22_V007,11370
L21_V015,26394
L21_V008,24030
L29_V021,3375
L29_V019,10179
L21_V009,19500
L22_V013,18618
L21_V008,25170
L21_V008,21146
L21_V024,19982
L27_V013,6850
L21_V008,21240
L21_V015,25905
L21_V007,15726
L21_V009,18120
L22_V022,19347
L22_V015,14915
L21_V024,19770
L28_V010,294
L21_V015,26151
L27_V016,0
L21_V006,25454
L21_V024,20207
L22_V022,26129
L29_V021,22463
L21_V018,18750
L21_V009,18015
L28_V005,6884
L25_V072,11742
L21_V009,12243
L21_V018,16637
L22_V030,14241
L26_V272,5468
L25_V059,18423
L27_V005,0
L25_V081,26538
L21_V017,14830
L21_V024,20550
L27_V007,13146
L21_V024,20820
L21_V030,29640
L21_V018,18529
L22_V014,13556
L21_V008,24870
L27_V011,0
L28_V016,333
L28_V003,411
L25_V027,24270
L30_V041,1523
L28_V005,6856
L25_V080,14086
L22_V026,23141
L25_V053,14400
L21_V021,18893
L25_V075,27808
