L29_V023,10935
L29_V023,24975
L29_V023,24920
L27_V004,11070
L27_V002,4455
L29_V023,10915
L28_V010,7780
L22_V007,8544
L28_V010,7830
L29_V003,12069
L29_V023,4019
L21_V019,8856
L29_V023,11070
L28_V020,25200
L29_V003,8100
L28_V010,7894
L28_V010,5489
L28_V010,7837
L27_V002,5400
L29_V002,14680
L29_V023,25566
L28_V010,7834
L29_V023,11764
L27_V002,4412
L21_V013,4608
L27_V002,4860
L28_V009,27675
L29_V023,12150
L28_V010,1847
L30_V011,931
L29_V023,10968
L29_V014,16875
L29_V023,21580
L29_V007,10530
L21_V023,10404
L21_V010,27377
L21_V007,19113
L21_V029,21251
L27_V002,805
L29_V010,1800
L30_V011,955
L28_V010,7781
L29_V016,2025
L29_V003,12210
L28_V009,27657
L29_V008,2025
L27_V011,7148
L21_V029,21180
L22_V022,20804
L21_V013,5078
L30_V033,3286
L21_V012,3134
L30_V033,3282
L29_V010,2025
L27_V002,3105
L27_V004,9032
L21_V017,5420
L27_V016,1511
L28_V010,1793
L29_V023,4050
L29_V023,11880
L21_V030,15684
L29_V003,12600
L28_V020,20790
L21_V012,4247
L29_V004,1800
L27_V002,13434
L27_V004,756
L29_V018,12015
L28_V010,8072
L29_V014,17145
L29_V003,20425
L22_V004,24966
L21_V010,26598
L21_V017,6197
L21_V021,9543
L28_V010,7836
L27_V004,9045
L27_V002,13500
L27_V002,5389
L27_V002,5320
L29_V020,1800
L28_V020,20712
L29_V004,2025
L28_V017,9455
L27_V002,757
L29_V013,1712
L29_V023,11205
L30_V033,5682
L27_V004,6210
L30_V033,3292
L27_V004,4544
L28_V001,20115
L29_V014,16713
L30_V013,659
L28_V017,9008
L21_V023,10812
L29_V023,11475
L29_V003,12150
L21_V019,7923
